id	phase	cluster	action	path	notes
001	bootstrap	hub	script	scripts/preflight.sh	Run once after env setup
002	foundation	hub	apply	implementation/phase-01-foundation/namespaces/hub-namespaces.yaml	Create hub namespaces
003	foundation	edge	apply	implementation/phase-01-foundation/namespaces/edge-namespaces.yaml	Create edge namespace
004	foundation	hub	apply	implementation/phase-01-foundation/operators/wave-0-nfd-subscription.yaml	Wave0 dependency
005	foundation	hub	apply	implementation/phase-01-foundation/operators/wave-0-certmanager-subscription.yaml	Wave0 dependency
006	foundation	hub	apply	implementation/phase-01-foundation/operators/wave-0-servicemesh-subscription.yaml	Wave0 dependency
007	foundation	hub	apply	implementation/phase-01-foundation/operators/wave-0-gpu-operator-subscription.yaml	Wave0 dependency
008	foundation	hub	manual	implementation/phase-01-foundation/machineset/check-machineset.sh	Fill MachineSet placeholders
009	foundation	hub	apply	implementation/phase-01-foundation/machineset/gpu-worker-machineset.yaml	Add GPU worker
010	foundation	hub	apply	implementation/phase-01-foundation/operators/wave-1-rhoai-subscription.yaml	Wave1 platform
011	foundation	hub	apply	implementation/phase-01-foundation/operators/wave-1-kafka-subscription.yaml	Wave1 platform
012	foundation	hub	apply	implementation/phase-01-foundation/operators/wave-1-acm-subscription.yaml	Wave1 platform
013	foundation	hub	apply	implementation/phase-01-foundation/operators/wave-1-aap-subscription.yaml	Wave1 platform
014	foundation	hub	apply	implementation/phase-01-foundation/operators/wave-1-logging-subscription.yaml	Wave1 platform
015	foundation	hub	apply	implementation/phase-01-foundation/operators/wave-1-loki-subscription.yaml	Wave1 platform
016	foundation	hub	apply	implementation/phase-01-foundation/operators/wave-1-cloudnativepg-subscription.yaml	Wave1 platform
017	foundation	edge	apply	implementation/phase-01-foundation/operators/edge-logging-subscription.yaml	Edge logging operator
018	data-pipeline	hub	apply	implementation/phase-02-data-pipeline/minio/minio-pvc.yaml	MinIO storage
019	data-pipeline	hub	apply	implementation/phase-02-data-pipeline/minio/minio-deployment.yaml	MinIO service
020	data-pipeline	hub	apply	implementation/phase-02-data-pipeline/minio/minio-init-job.yaml	Create buckets
021	data-pipeline	hub	apply	implementation/phase-02-data-pipeline/kafka/kafka-cluster.yaml	Kafka KRaft
022	data-pipeline	hub	apply	implementation/phase-02-data-pipeline/kafka/kafka-topics.yaml	Topics
023	data-pipeline	hub	apply	implementation/phase-02-data-pipeline/postgresql/langfuse-postgres-cluster.yaml	Langfuse DB
024	data-pipeline	hub	apply	implementation/phase-02-data-pipeline/postgresql/pgvector-buildconfig.yaml	Build pgvector image
025	data-pipeline	hub	manual	implementation/phase-02-data-pipeline/postgresql/pgvector-buildconfig.yaml	Run start-build for pgvector image
